date,predicted_mean
2024-04-30,10728.635049227216
2024-05-31,10574.978272108361
2024-06-30,10699.345520361558
2024-07-31,10492.784079420366
2024-08-31,10551.20283257546
2024-09-30,10753.775385681995
2024-10-31,10677.91420247267
2024-11-30,11068.428244203327
2024-12-31,10519.705232256609
2025-01-31,10213.028833030336
2025-02-28,10550.441505707207
2025-03-31,11726.210686183507
